id,trialnum,question_num,question,tot,rt
21,1,147,What is the name of the constellation that looks like a flying horse?,N/A,0
21,2,148,What country's ships transported four million African slaves to Brazil?,no,1.5392371251664372
21,3,63,What is the last name of the author who wrote 'The Old Man and the Sea'?,no,1.748580012430466
21,4,19,What is May's birthstone?,yes,1.8863506562729526
21,5,43,What is the last name of the second U.S. president?,N/A,0
21,6,123,What is the last name of the man who was president directly after James Madison?,no,1.6489546924813112
21,7,133,What nation signed away a fourth of its European land in a 1918 Treaty?,no,1.5316772035585018
21,8,79,What spice do chefs pay the most for?,N/A,0
21,9,111,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0
21,10,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,yes,1.5781925561204844
21,11,92,What is the last name of the man who showed that lightning is electricity?,N/A,0
21,12,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,yes,1.7600276710354592
21,13,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,yes,1.4189361537901277
21,14,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.5466777599185662
21,15,122,Which dynasty was in power throughout the 1500's in China?,N/A,0
21,16,67,What is the last name of the man who wrote the Star Spangled Banner?,no,1.0582009399668095
21,17,73,What country has the ancient ruins of Machu Picchu?,N/A,0
21,18,72,What colorless gas is essential in the production of fertilizers and light bulbs?,N/A,0
21,19,105,What virus killed two million people in 1967?,no,1.5035552134222598
21,20,57,What is the last name of the man who invented the phonograph?,N/A,0
21,21,115,Who was the leader of the Argonauts?,N/A,0
21,22,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.280668914945636
21,23,41,What is the name of the furry animal that attacks cobra snakes?,N/A,0
21,24,84,What's heaven to fallen Norse warriors?,yes,1.5586715948356868
21,25,53,What is the northernmost country in continental South America?,no,1.541963826495703
21,26,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,N/A,0
21,27,32,What is the capital of Bulgaria?,no,1.4786477531688433
21,28,107,What is the last name of the first person to set foot on the moon?,N/A,0
21,29,98,Of which country is Nairobi the capital?,yes,1.8187508621085726
21,30,112,What is the first book of the Old Testament?,N/A,0
21,31,49,What is the last name of the criminal known as Scarface?,no,1.818192505998013
21,32,3,What is the last name of the author who wrote Brothers Karamazov?,yes,2.329527737864737
21,33,146,What country joins Central America to South America?,N/A,0
21,34,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.5223063211324188
21,35,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
21,36,131,What staple crop does half the world's population depend on?,N/A,0
21,37,121,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0
21,38,74,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0
