id,trialnum,question_num,question,tot,rt
24,1,149,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,1.3341052799551107
24,2,92,What is the last name of the man who showed that lightning is electricity?,yes,1.9920837554782338
24,3,15,What is the last name of the male star of the movie Casablanca?,yes,1.2817041124217212
24,4,86,What nuts are used in marzipan? ,yes,2.0121879377402365
24,5,28,What is the last name of the author of the book 1984?,no,1.464478233265254
24,6,94,What were raced in Greek and Roman hippodromes? ,N/A,0
24,7,79,What spice do chefs pay the most for?,no,1.3900318013511423
24,8,74,In which sport does a rider on horseback hit a ball with a mallet?,yes,1.6226430041715503
24,9,2,What is the name of the collar bone?,yes,1.5865377810223436
24,10,97,Brown vs. Board of Education the landmark civil-rights case originated in what state?,N/A,0
24,11,125,What is the name of the American who starred in the 1936 Olympics?,no,1.4164662739276537
24,12,30,What is the name of the organ that produces insulin?,N/A,0
24,13,134,What country's civil war was described as a 'rehearsal for World War II'?,no,1.6361175918245863
24,14,19,What is May's birthstone?,N/A,0
24,15,118,What is the last name of the man who began the Protestant reformation in Germany?,no,1.2730062035516312
24,16,67,What is the last name of the man who wrote the Star Spangled Banner?,yes,1.7319274403198506
24,17,143,What is the Taj Majal made of?,N/A,0
24,18,69,What is the highest mountain in the U.S.?,no,0.6742020423407666
24,19,148,What country's ships transported four million African slaves to Brazil?,no,1.2786698182862892
24,20,111,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0
24,21,14,Who was the title character in 'The Merchant of Venice'?,no,1.4090243814825953
24,22,106,What is the longest river in South America?,N/A,0
24,23,110,What is the capital of Denmark?,N/A,0
24,24,7,What is the last name of the man who first studied genetic inheritance in plants?,yes,1.6557631038122054
24,25,52,What is the capital of Wyoming?,no,1.348899785807589
24,26,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,1.362249662503018
24,27,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.939117210888071
