id,trialnum,question_num,question,tot,rt
27,1,115,Who was the leader of the Argonauts?,no,1.933316863145592
27,2,145,What is the last name of the man who invented dynamite?,no,1.5498978357209126
27,3,84,What's heaven to fallen Norse warriors?,no,1.84385243995348
27,4,7,What is the last name of the man who first studied genetic inheritance in plants?,no,0.5447307831091166
27,5,12,What drug was named after the Greek god of dreams?,N/A,0
27,6,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.3539989223681914
27,7,13,What is the name of Batman's butler?,yes,2.2841281727414753
27,8,110,What is the capital of Denmark?,no,1.9825574551905447
27,9,43,What is the last name of the second U.S. president?,N/A,0
27,10,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,no,1.6831725359879783
27,11,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,yes,2.0605760906619253
27,12,28,What is the last name of the author of the book 1984?,N/A,0
27,13,66,Over which river is the George Washington Bridge?,no,1.5398495378722146
27,14,52,What is the capital of Wyoming?,no,1.6957472883841547
27,15,95,What is the last name of the discoverer of the vaccination for smallpox?,no,1.4376789165580703
27,16,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.421241594489402
27,17,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.5089814697857946
27,18,127,What is the name of Socrates' most famous student?,N/A,0
27,19,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,no,1.798690003608499
27,20,20,What is the capital of Kentucky?,no,1.7119780815191916
27,21,124,What major city is on an island in the St. Lawrence River?,no,1.7067811760716722
27,22,88,What igneous rock makes up the bulk of Devils Tower?,no,1.6149169473501388
27,23,64,What kind of poison did Socrates take at his execution?,no,1.4827209942268382
27,24,120,What city was Martin Luther King Jr. assassinated in?,N/A,0
27,25,94,What were raced in Greek and Roman hippodromes? ,no,1.5054738963081036
27,26,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,no,1.4903973194595892
27,27,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,N/A,0
27,28,119,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0
27,29,128,What is the name of a dried plum?,no,2.016516575444257
27,30,103,What is the most populous country in Africa?,yes,1.70538633265096
27,31,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
27,32,32,What is the capital of Bulgaria?,no,1.442134718712623
