id,trialnum,question_num,question,tot,rt
4,1,145,What is the last name of the man who invented dynamite?,no,1.5982078439355973
4,2,106,What is the longest river in South America?,yes,2.4012321519876423
4,3,86,What nuts are used in marzipan? ,no,2.1008499430263328
4,4,95,What is the last name of the discoverer of the vaccination for smallpox?,yes,2.7837870217845193
4,5,41,What is the name of the furry animal that attacks cobra snakes?,N/A,0
4,6,116,What is the last name of the person who defined 'The Beat Generation'?,N/A,0
4,7,74,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0
4,8,140,What country was formerly known as the Belgian Congo?,N/A,0
4,9,30,What is the name of the organ that produces insulin?,N/A,0
4,10,51,Who was the first ruler of the Holy Roman Empire?,yes,1.5949279563465097
4,11,7,What is the last name of the man who first studied genetic inheritance in plants?,N/A,0
4,12,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,1.9931217808407382
4,13,87,What is the more common name for a mandrill?,no,2.2782304528118402
4,14,18,What is the capital of Delaware?,N/A,0
4,15,138,What is the largest city in Canada?,N/A,0
4,16,4,What was the name of the first Apollo lunar module that landed the first man on the moon?,N/A,0
4,17,120,What city was Martin Luther King Jr. assassinated in?,N/A,0
4,18,11,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,N/A,0
4,19,83,What is the name of the mountain range that separates Asia from Europe?,yes,2.081243326105323
4,20,10,What is the last name of the man who wrote Canterbury Tales?,N/A,0
4,21,111,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0
4,22,132,What was the last name of the woman who designed and sewed the first American flag?,yes,1.9418160196892131
4,23,50,The general named Hannibal was from what city?,no,2.740575710997291
4,24,122,Which dynasty was in power throughout the 1500's in China?,yes,1.7611759021328908
4,25,113,What is the last name of the villainous captain in the story Peter Pan?,N/A,0
4,26,69,What is the highest mountain in the U.S.?,N/A,0
4,27,47,In what ancient city were the Hanging Gardens located?,no,1.7166377868306881
4,28,71,What is the name of the British admiral who won the Battle of Trafalgar?,no,1.7167628039551346
4,29,62,In which city is Michelangelo's statue of David located?,no,3.9395562164390867
4,30,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
4,31,96,What is the last name of the person who has graced the most Sports Illustrated covers?,N/A,0
4,32,100,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,1.7350991151597555
4,33,37,What is the last name of the boy in the book Treasure Island?,no,1.8200521514518186
4,34,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,yes,1.696561155238669
4,35,128,What is the name of a dried plum?,N/A,0
4,36,94,What were raced in Greek and Roman hippodromes? ,no,2.1008079749244644
4,37,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,N/A,0
4,38,147,What is the name of the constellation that looks like a flying horse?,N/A,0
4,39,65,Who was the most famous Greek doctor?,N/A,0
4,40,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,no,1.4030771478592214
4,41,85,What animals travel in pods? ,no,2.769539194621757
4,42,44,What is the last name of the author of Little Women?,yes,2.0523046033104038
4,43,49,What is the last name of the criminal known as Scarface?,no,1.6566442376788473
4,44,60,What is the name of the unit of measure that refers to a six-foot depth of water?,no,3.322967107525983
4,45,80,What is the capital of Chile?,yes,1.784650967541893
4,46,32,What is the capital of Bulgaria?,yes,1.5656912013855617
4,47,91,What is the last name of the man who supposedly killed Jesse James?,yes,4.057678588733324
4,48,34,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,1.6328210019273683
4,49,22,Of which country is Budapest the capital?,N/A,0
4,50,108,Who was The Friendly Ghost?,N/A,0
4,51,88,What igneous rock makes up the bulk of Devils Tower?,no,1.8883135669966578
4,52,1,What is the name of the palace in London in which the monarch of England resides?,N/A,0
4,53,114,What company invented the microprocessor in 1971?,N/A,0
4,54,110,What is the capital of Denmark?,N/A,0
4,55,148,What country's ships transported four million African slaves to Brazil?,no,1.3815285701875837
4,56,13,What is the name of Batman's butler?,N/A,0
4,57,121,What is the name for the astronomical bodies that enter the earth's atmosphere?,no,1.577273164408325
4,58,58,What's the northernmost Baltic republic?,no,1.7479635387608141
4,59,130,What's the 'Q' short for in Q-Tips?,no,1.6481994015302917
4,60,12,What drug was named after the Greek god of dreams?,no,1.6159835278667742
4,61,63,What is the last name of the author who wrote 'The Old Man and the Sea'?,yes,4.168341340226107
4,62,119,What is the name of the ship that carried the pilgrims to America in 1620?,yes,1.8707676725825877
4,63,133,What nation signed away a fourth of its European land in a 1918 Treaty?,yes,3.537584445788525
4,64,82,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,no,2.364463268095278
4,65,101,In which city is Heathrow Airport located?,N/A,0
4,66,125,What is the name of the American who starred in the 1936 Olympics?,yes,1.7931934786465717
4,67,67,What is the last name of the man who wrote the Star Spangled Banner?,yes,1.7068082940422755
4,68,112,What is the first book of the Old Testament?,no,1.6941044148461515
4,69,19,What is May's birthstone?,no,2.226258931108532
4,70,40,What's the largest gland in the human body?,no,2.106000225554453
4,71,29,What is the last name of the man who assassinated President John Kennedy?,no,1.4941307061017142
4,72,131,What staple crop does half the world's population depend on?,N/A,0
4,73,76,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,yes,2.246240860047692
4,74,139,In which country is Angel Falls located?,no,1.8989983058381767
4,75,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,yes,1.8034947303876834
4,76,73,What country has the ancient ruins of Machu Picchu?,N/A,0
4,77,17,What is the last name of the author who wrote Oliver Twist?,N/A,0
4,78,98,Of which country is Nairobi the capital?,N/A,0
4,79,68,What Peanuts character clings to a security blanket?,no,1.9140455569176993
4,80,93,What island is the largest in the world excluding Australia?,N/A,0
4,81,137,What liquor packs the punch in an Aztec Punch?,no,1.6823278838346596
4,82,52,What is the capital of Wyoming?,yes,2.125605840014032
4,83,72,What colorless gas is essential in the production of fertilizers and light bulbs?,yes,2.097006791685999
4,84,81,In what country is the Dalai Lama's palace?,N/A,0
4,85,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,yes,1.585205165689331
4,86,24,What is the capital of Jamaica?,N/A,0
4,87,3,What is the last name of the author who wrote Brothers Karamazov?,no,1.6411987181854784
4,88,39,What country's capital is Tripoli?,N/A,0
4,89,104,What is the name of the process by which plants make their food?,N/A,0
4,90,64,What kind of poison did Socrates take at his execution?,no,1.3419044619622582
4,91,126,What is the last name of the artist who painted Guernica?,N/A,0
4,92,135,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,yes,1.7769619331502327
4,93,75,What is the world's largest snake?,N/A,0
4,94,25,What is the name of the project which developed the atomic bomb during World War II?,N/A,0
4,95,36,What sitcom received a record 117 Emmy nominations?,yes,2.2175108048759284
4,96,103,What is the most populous country in Africa?,N/A,0
4,97,105,What virus killed two million people in 1967?,yes,1.804152265733137
4,98,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.9273975884079846
4,99,48,What is the name of the man who assassinated Abraham Lincoln?,yes,1.6832668706119875
4,100,21,What is the last name of the first U.S. President to die in office?,no,1.5810841166457976
4,101,77,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0
4,102,136,According to the FDA what's the only fish that produces real caviar?,no,1.706114670039824
4,103,59,What is the name of a female sheep?,N/A,0
4,104,115,Who was the leader of the Argonauts?,no,1.774443145326586
4,105,31,What was the capital of Czechoslovakia?,no,1.6648895887574326
4,106,45,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,N/A,0
4,107,46,In what European city is the Parthenon located?,no,1.1507653017579287
4,108,149,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,yes,2.5813315160921775
4,109,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,N/A,0
4,110,102,What is the capital of Russia?,N/A,0
4,111,0,What is the name of the river that runs through Rome?,no,2.333466549489458
4,112,43,What is the last name of the second U.S. president?,N/A,0
4,113,53,What is the northernmost country in continental South America?,no,1.2933314642978075
4,114,15,What is the last name of the male star of the movie Casablanca?,N/A,0
4,115,134,What country's civil war was described as a 'rehearsal for World War II'?,no,3.5896722281067923
4,116,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0
4,117,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,1.6600878625140467
4,118,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.6555889852752443
4,119,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,yes,2.2338994914171053
4,120,66,Over which river is the George Washington Bridge?,yes,2.529115764395101
4,121,55,What is the last name of the scientist who discovered radium?,no,2.276790806079589
4,122,92,What is the last name of the man who showed that lightning is electricity?,N/A,0
4,123,79,What spice do chefs pay the most for?,no,1.653955161513295
4,124,54,What is the name of the island on which Napoleon was born?,no,1.7789301834836806
4,125,107,What is the last name of the first person to set foot on the moon?,N/A,0
4,126,57,What is the last name of the man who invented the phonograph?,no,1.6830849236303038
4,127,23,What country gave the world the word 'geyser' for a hot spring?,no,1.5688472948550043
4,128,14,Who was the title character in 'The Merchant of Venice'?,yes,1.8909726394522295
4,129,84,What's heaven to fallen Norse warriors?,no,1.7392323641761323
4,130,146,What country joins Central America to South America?,yes,2.3540908264640166
4,131,97,Brown vs. Board of Education the landmark civil-rights case originated in what state?,yes,1.7066581351518835
4,132,143,What is the Taj Majal made of?,N/A,0
4,133,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,2.279677212016395
4,134,141,What is the name of the captain of the Pequod in the book Moby Dick?,N/A,0
4,135,38,What is the last name of the author who wrote Brave New World?,N/A,0
4,136,129,What was Cinderella's coach made from?,N/A,0
4,137,78,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0
4,138,33,What is the name of the crime in which a person purposely betrays their country?,N/A,0
4,139,117,What human organ (or organs) does a nephrologist treat?,N/A,0
4,140,127,What is the name of Socrates' most famous student?,N/A,0
4,141,124,What major city is on an island in the St. Lawrence River?,no,1.9840777125809836
4,142,142,Which big cat usually carries its dead prey up into a tree to eat it?,no,1.1593303281715635
4,143,61,What is the last name of the author of the James Bond novels?,N/A,0
4,144,123,What is the last name of the man who was president directly after James Madison?,yes,1.9655557352562028
4,145,20,What is the capital of Kentucky?,N/A,0
4,146,2,What is the name of the collar bone?,N/A,0
4,147,118,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0
4,148,6,In the bible whose name was changed to Israel?,no,1.7923463675761013
4,149,28,What is the last name of the author of the book 1984?,N/A,0
4,150,144,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,1.6598812950487627
