id,trialnum,question_num,question,tot,rt
18,1,148,What country's ships transported four million African slaves to Brazil?,no,1.6990465671124184
18,2,24,What is the capital of Jamaica?,N/A,0
18,3,71,What is the name of the British admiral who won the Battle of Trafalgar?,no,1.4395297510245655
18,4,115,Who was the leader of the Argonauts?,N/A,0
18,5,127,What is the name of Socrates' most famous student?,N/A,0
18,6,87,What is the more common name for a mandrill?,no,1.2970526519793566
18,7,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.6252074284839182
18,8,113,What is the last name of the villainous captain in the story Peter Pan?,N/A,0
18,9,73,What country has the ancient ruins of Machu Picchu?,N/A,0
18,10,82,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,N/A,0
18,11,137,What liquor packs the punch in an Aztec Punch?,no,1.409408735343277
18,12,130,What's the 'Q' short for in Q-Tips?,no,1.501439637513613
18,13,19,What is May's birthstone?,no,1.39134768617987
18,14,129,What was Cinderella's coach made from?,N/A,0
18,15,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,no,2.3932321388592754
18,16,102,What is the capital of Russia?,N/A,0
18,17,84,What's heaven to fallen Norse warriors?,N/A,0
18,18,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,no,2.450462401467121
18,19,143,What is the Taj Majal made of?,N/A,0
18,20,7,What is the last name of the man who first studied genetic inheritance in plants?,yes,2.190436005306765
18,21,133,What nation signed away a fourth of its European land in a 1918 Treaty?,no,3.1795597693699165
18,22,57,What is the last name of the man who invented the phonograph?,no,1.6206774201637018
18,23,139,In which country is Angel Falls located?,no,1.5353694443419954
18,24,116,What is the last name of the person who defined 'The Beat Generation'?,N/A,0
18,25,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,N/A,0
18,26,17,What is the last name of the author who wrote Oliver Twist?,N/A,0
18,27,92,What is the last name of the man who showed that lightning is electricity?,N/A,0
18,28,32,What is the capital of Bulgaria?,no,1.3819738176944156
18,29,1,What is the name of the palace in London in which the monarch of England resides?,N/A,0
18,30,39,What country's capital is Tripoli?,N/A,0
18,31,36,What sitcom received a record 117 Emmy nominations?,N/A,0
18,32,14,Who was the title character in 'The Merchant of Venice'?,no,0.645578363133609
18,33,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,yes,2.086287921822077
18,34,41,What is the name of the furry animal that attacks cobra snakes?,yes,1.6008299812538098
18,35,75,What is the world's largest snake?,N/A,0
18,36,119,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0
18,37,77,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0
18,38,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,N/A,0
18,39,10,What is the last name of the man who wrote Canterbury Tales?,N/A,0
18,40,123,What is the last name of the man who was president directly after James Madison?,no,1.4742099463019258
18,41,132,What was the last name of the woman who designed and sewed the first American flag?,N/A,0
18,42,104,What is the name of the process by which plants make their food?,N/A,0
18,43,4,What was the name of the first Apollo lunar module that landed the first man on the moon?,no,1.5035798718199658
18,44,65,Who was the most famous Greek doctor?,no,0.8789621825999347
18,45,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
18,46,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,1.2807858918622514
18,47,44,What is the last name of the author of Little Women?,yes,1.7227138441594434
18,48,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,0.635431165146656
18,49,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.3512395837160511
18,50,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,no,1.4808818830670134
18,51,142,Which big cat usually carries its dead prey up into a tree to eat it?,no,1.2709946335544373
18,52,89,What is the last name of the renowned English author who had been a Polish sailor?,N/A,0
18,53,128,What is the name of a dried plum?,N/A,0
18,54,147,What is the name of the constellation that looks like a flying horse?,N/A,0
18,55,95,What is the last name of the discoverer of the vaccination for smallpox?,yes,1.5018185884182458
18,56,121,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0
18,57,64,What kind of poison did Socrates take at his execution?,yes,1.8126403044770996
18,58,108,Who was The Friendly Ghost?,N/A,0
18,59,72,What colorless gas is essential in the production of fertilizers and light bulbs?,no,1.4084256032238045
18,60,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,N/A,0
18,61,131,What staple crop does half the world's population depend on?,N/A,0
18,62,29,What is the last name of the man who assassinated President John Kennedy?,N/A,0
18,63,48,What is the name of the man who assassinated Abraham Lincoln?,yes,1.7396290987644534
18,64,81,In what country is the Dalai Lama's palace?,N/A,0
18,65,106,What is the longest river in South America?,N/A,0
18,66,11,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,no,2.0876243070570126
18,67,51,Who was the first ruler of the Holy Roman Empire?,yes,1.4394446330534265
18,68,79,What spice do chefs pay the most for?,no,1.344808365105564
