id,trialnum,question_num,question,tot,rt
7,1,100,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,8.788799125864898
7,2,39,What country's capital is Tripoli?,yes,2.154555742865341
7,3,124,What major city is on an island in the St. Lawrence River?,no,1.682540321853594
7,4,141,What is the name of the captain of the Pequod in the book Moby Dick?,N/A,0
7,5,33,What is the name of the crime in which a person purposely betrays their country?,no,0.491367990789513
7,6,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.408578466720428
7,7,2,What is the name of the collar bone?,no,1.7024599020278401
7,8,17,What is the last name of the author who wrote Oliver Twist?,yes,2.353570948349443
7,9,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.6251155088921223
7,10,136,According to the FDA what's the only fish that produces real caviar?,N/A,0
7,11,78,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0
7,12,63,What is the last name of the author who wrote 'The Old Man and the Sea'?,no,1.649062644728474
7,13,58,What's the northernmost Baltic republic?,yes,1.5689417827561556
7,14,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,yes,1.609774114753236
7,15,21,What is the last name of the first U.S. President to die in office?,no,3.02275218617433
7,16,29,What is the last name of the man who assassinated President John Kennedy?,no,1.6066533897828776
7,17,24,What is the capital of Jamaica?,N/A,0
7,18,108,Who was The Friendly Ghost?,N/A,0
7,19,59,What is the name of a female sheep?,no,1.486453967527268
7,20,47,In what ancient city were the Hanging Gardens located?,yes,1.9634167165095278
7,21,133,What nation signed away a fourth of its European land in a 1918 Treaty?,no,1.224009037081487
7,22,84,What's heaven to fallen Norse warriors?,no,1.4005640097293508
7,23,43,What is the last name of the second U.S. president?,no,1.6194059385088622
7,24,68,What Peanuts character clings to a security blanket?,no,1.688393763763088
7,25,148,What country's ships transported four million African slaves to Brazil?,N/A,0
7,26,134,What country's civil war was described as a 'rehearsal for World War II'?,yes,1.6705644758694689
7,27,107,What is the last name of the first person to set foot on the moon?,yes,2.216811394173419
7,28,97,Brown vs. Board of Education the landmark civil-rights case originated in what state?,N/A,0
7,29,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,yes,2.0942350743662246
7,30,61,What is the last name of the author of the James Bond novels?,no,1.7207266437671933
7,31,139,In which country is Angel Falls located?,N/A,0
7,32,67,What is the last name of the man who wrote the Star Spangled Banner?,no,1.847164603848796
7,33,117,What human organ (or organs) does a nephrologist treat?,no,1.9981953723599872
7,34,88,What igneous rock makes up the bulk of Devils Tower?,no,1.7202129135512223
7,35,82,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,yes,2.1424967487218964
7,36,50,The general named Hannibal was from what city?,no,1.412743693759694
7,37,36,What sitcom received a record 117 Emmy nominations?,N/A,0
7,38,145,What is the last name of the man who invented dynamite?,no,1.605194996442151
7,39,115,Who was the leader of the Argonauts?,yes,3.3282688853087166
7,40,32,What is the capital of Bulgaria?,yes,2.329789707851887
7,41,122,Which dynasty was in power throughout the 1500's in China?,N/A,0
7,42,143,What is the Taj Majal made of?,N/A,0
7,43,140,What country was formerly known as the Belgian Congo?,no,3.1549108287908894
7,44,129,What was Cinderella's coach made from?,N/A,0
7,45,62,In which city is Michelangelo's statue of David located?,N/A,0
7,46,137,What liquor packs the punch in an Aztec Punch?,no,1.6120555991801666
7,47,40,What's the largest gland in the human body?,no,0.7449457357488427
7,48,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.4987564967068465
7,49,30,What is the name of the organ that produces insulin?,N/A,0
7,50,85,What animals travel in pods? ,no,1.5050433626165614
7,51,19,What is May's birthstone?,N/A,0
7,52,23,What country gave the world the word 'geyser' for a hot spring?,no,1.543995214975439
7,53,91,What is the last name of the man who supposedly killed Jesse James?,no,1.473141199998281
7,54,111,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0
7,55,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0
7,56,101,In which city is Heathrow Airport located?,yes,1.5243500903870881
7,57,113,What is the last name of the villainous captain in the story Peter Pan?,no,1.6086744779750006
7,58,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.6182668703859235
7,59,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.4683694861123513
7,60,116,What is the last name of the person who defined 'The Beat Generation'?,no,2.16728683416477
7,61,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,yes,2.4517341387454508
7,62,6,In the bible whose name was changed to Israel?,N/A,0
7,63,128,What is the name of a dried plum?,N/A,0
7,64,15,What is the last name of the male star of the movie Casablanca?,no,1.6097993413895892
7,65,41,What is the name of the furry animal that attacks cobra snakes?,no,1.7414517871984572
7,66,94,What were raced in Greek and Roman hippodromes? ,no,1.5290437184848997
7,67,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
7,68,95,What is the last name of the discoverer of the vaccination for smallpox?,no,1.6886885039111803
7,69,106,What is the longest river in South America?,no,3.828805828909026
7,70,65,Who was the most famous Greek doctor?,no,1.497590983972259
7,71,98,Of which country is Nairobi the capital?,N/A,0
7,72,73,What country has the ancient ruins of Machu Picchu?,N/A,0
7,73,37,What is the last name of the boy in the book Treasure Island?,no,1.4813018441709573
7,74,0,What is the name of the river that runs through Rome?,no,1.6390921284346405
7,75,77,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0
7,76,131,What staple crop does half the world's population depend on?,N/A,0
7,77,31,What was the capital of Czechoslovakia?,yes,2.052286139132775
7,78,14,Who was the title character in 'The Merchant of Venice'?,no,1.9242726094089448
7,79,135,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,yes,2.40024268295565
7,80,46,In what European city is the Parthenon located?,yes,1.6986694757524674
7,81,125,What is the name of the American who starred in the 1936 Olympics?,N/A,0
7,82,25,What is the name of the project which developed the atomic bomb during World War II?,N/A,0
7,83,10,What is the last name of the man who wrote Canterbury Tales?,no,1.2806278206408024
7,84,110,What is the capital of Denmark?,no,3.14574791072846
7,85,18,What is the capital of Delaware?,no,1.5403467104624724
7,86,102,What is the capital of Russia?,N/A,0
7,87,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0
7,88,118,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0
7,89,103,What is the most populous country in Africa?,N/A,0
7,90,64,What kind of poison did Socrates take at his execution?,N/A,0
7,91,51,Who was the first ruler of the Holy Roman Empire?,yes,1.7935316306175082
7,92,120,What city was Martin Luther King Jr. assassinated in?,N/A,0
7,93,22,Of which country is Budapest the capital?,yes,2.414071045253877
7,94,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,1.2041649764269096
7,95,142,Which big cat usually carries its dead prey up into a tree to eat it?,no,2.539569018634211
