id,trialnum,question_num,question,tot,rt
15,1,102,What is the capital of Russia?,yes,2.5511595358630075
15,2,62,In which city is Michelangelo's statue of David located?,yes,1.917101859556169
15,3,7,What is the last name of the man who first studied genetic inheritance in plants?,no,1.4606556463336346
15,4,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.5493590296223374
15,5,100,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,0.9271061199938231
15,6,78,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0
15,7,113,What is the last name of the villainous captain in the story Peter Pan?,yes,1.8462131973333271
15,8,81,In what country is the Dalai Lama's palace?,no,0.6952095634305806
15,9,59,What is the name of a female sheep?,no,1.4878926570099793
15,10,123,What is the last name of the man who was president directly after James Madison?,no,1.9679759410555562
15,11,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.4985512104653935
15,12,127,What is the name of Socrates' most famous student?,N/A,0
15,13,24,What is the capital of Jamaica?,no,1.57829442133243
15,14,139,In which country is Angel Falls located?,no,1.3537186256326095
15,15,57,What is the last name of the man who invented the phonograph?,yes,1.7394174878454578
15,16,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,1.40044206806715
15,17,34,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,yes,1.5752035687437456
15,18,71,What is the name of the British admiral who won the Battle of Trafalgar?,no,1.5057070422535617
15,19,67,What is the last name of the man who wrote the Star Spangled Banner?,N/A,0
15,20,145,What is the last name of the man who invented dynamite?,no,1.6983858954436073
15,21,19,What is May's birthstone?,N/A,0
15,22,107,What is the last name of the first person to set foot on the moon?,yes,1.4731088115881903
15,23,52,What is the capital of Wyoming?,no,1.3011949476217524
15,24,96,What is the last name of the person who has graced the most Sports Illustrated covers?,no,1.3784570247107695
15,25,95,What is the last name of the discoverer of the vaccination for smallpox?,no,1.5420117387598111
15,26,72,What colorless gas is essential in the production of fertilizers and light bulbs?,no,1.455330635055816
15,27,146,What country joins Central America to South America?,yes,2.8385448248209286
15,28,77,What brand name drug is most often prescribed to treat attention deficit disorder?,no,0.6629133226406339
15,29,32,What is the capital of Bulgaria?,no,1.8104567189616319
15,30,9,What is the last name of Batman's secret identity in the Batman comics?,no,1.644423773244398
15,31,1,What is the name of the palace in London in which the monarch of England resides?,N/A,0
15,32,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.574801959801789
15,33,69,What is the highest mountain in the U.S.?,N/A,0
15,34,40,What's the largest gland in the human body?,no,1.4410827427195727
15,35,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,N/A,0
15,36,22,Of which country is Budapest the capital?,N/A,0
15,37,4,What was the name of the first Apollo lunar module that landed the first man on the moon?,no,1.3811472557767956
15,38,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.4084485539569869
15,39,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,1.350505032329238
15,40,124,What major city is on an island in the St. Lawrence River?,no,1.5702167710892354
15,41,13,What is the name of Batman's butler?,yes,1.492293574257019
15,42,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,no,1.4774907122450713
15,43,21,What is the last name of the first U.S. President to die in office?,no,0.8540938048217868
15,44,28,What is the last name of the author of the book 1984?,yes,2.169456267856276
15,45,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,no,1.4300644378727156
15,46,30,What is the name of the organ that produces insulin?,yes,1.6000466793643682
15,47,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,no,0.658309618565454
15,48,134,What country's civil war was described as a 'rehearsal for World War II'?,no,1.9146015487945078
15,49,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,no,1.4338989323846363
15,50,94,What were raced in Greek and Roman hippodromes? ,no,1.471106380632591
15,51,43,What is the last name of the second U.S. president?,N/A,0
15,52,73,What country has the ancient ruins of Machu Picchu?,N/A,0
15,53,68,What Peanuts character clings to a security blanket?,N/A,0
15,54,143,What is the Taj Majal made of?,N/A,0
