       value	     chindex	     chlabel	        bini	     ERPset
3.102	41	         FC1	2	3
1.679	42	         FC5	2	3
3.172	43	          C1	2	3
1.746	44	          C5	2	3
2.02	45	         AF4	2	3
1.232	46	         AF8	2	3
2.678	47	          F2	2	3
1.752	48	          F6	2	3
3.157	49	         FC2	2	3
2.148	50	         FC6	2	3
3.33	51	          C2	2	3
2.404	52	          C6	2	3
3.068	53	         CP1	2	3
1.673	54	         CP5	2	3
2.863	55	          P1	2	3
1.475	56	          P5	2	3
1.805	57	         PO3	2	3
0.152	58	         PO7	2	3
3.903	59	         CP2	2	3
2.921	60	         CP6	2	3
3.785	61	          P2	2	3
3.229	62	          P6	2	3
2.895	63	         PO4	2	3
1.447	64	         PO8	2	3
4.038	1	          Fz	1	6
4.112	2	         FCz	1	6
4.261	3	          Cz	1	6
4.243	4	         CPz	1	6
3.599	5	          Pz	1	6
-0.634	6	          Oz	1	6
4.268	7	         FP1	1	6
4.121	8	          F3	1	6
3.487	9	          F7	1	6
4.407	10	         FC3	1	6
2.984	11	         FT7	1	6
4.621	12	          C3	1	6
3.241	13	         FP2	1	6
3.001	14	          F4	1	6
2.514	15	          F8	1	6
3.618	16	         FC4	1	6
2.753	17	         FT8	1	6
3.924	18	          C4	1	6
4.457	19	         CP3	1	6
1.745	20	         TP7	1	6
-0.341	21	          LM	1	6
3.525	22	          P3	1	6
0.828	23	          P7	1	6
-0.425	24	          O1	1	6
3.858	25	         CP4	1	6
2.666	26	         TP8	1	6
0.341	27	          RM	1	6
3.36	28	          P4	1	6
1.94	29	          P8	1	6
-0.321	30	          O2	1	6
4.839	31	        HEOG	1	6
5.954	32	        VEOG	1	6
5.992	33	         NAZ	1	6
3.626	34	         FPz	1	6
3.585	35	         AFz	1	6
1.487	36	         POZ	1	6
3.824	37	         AF3	1	6
3.88	38	         AF7	1	6
4.041	39	          F1	1	6
3.721	40	          F5	1	6
4.375	41	         FC1	1	6
3.911	42	         FC5	1	6
4.647	43	          C1	1	6
3.911	44	          C5	1	6
3.428	45	         AF4	1	6
2.279	46	         AF8	1	6
3.463	47	          F2	1	6
2.748	48	          F6	1	6
4.037	49	         FC2	1	6
3.096	50	         FC6	1	6
4.254	51	          C2	1	6
3.267	52	          C6	1	6
4.526	53	         CP1	1	6
3.296	54	         CP5	1	6
3.636	55	          P1	1	6
1.988	56	          P5	1	6
0.485	57	         PO3	1	6
-0.482	58	         PO7	1	6
4.428	59	         CP2	1	6
3.215	60	         CP6	1	6
3.412	61	          P2	1	6
3.032	62	          P6	1	6
1.42	63	         PO4	1	6
1.204	64	         PO8	1	6
2.307	1	          Fz	2	6
1.944	2	         FCz	2	6
1.45	3	          Cz	2	6
1.429	4	         CPz	2	6
1.059	5	          Pz	2	6
-2.058	6	          Oz	2	6
3.214	7	         FP1	2	6
2.37	8	          F3	2	6
1.769	9	          F7	2	6
2.074	10	         FC3	2	6
1.052	11	         FT7	2	6
1.88	12	          C3	2	6
3.555	13	         FP2	2	6
1.451	14	          F4	2	6
1.56	15	          F8	2	6
1.618	16	         FC4	2	6
1.579	17	         FT8	2	6
1.689	18	          C4	2	6
1.821	19	         CP3	2	6
0.497	20	         TP7	2	6
-0.425	21	          LM	2	6
1.377	22	          P3	2	6
-0.642	23	          P7	2	6
-1.358	24	          O1	2	6
1.471	25	         CP4	2	6
1.228	26	         TP8	2	6
0.425	27	          RM	2	6
1.165	28	          P4	2	6
0.69	29	          P8	2	6
-1.087	30	          O2	2	6
3.124	31	        HEOG	2	6
3.379	32	        VEOG	2	6
4.185	33	         NAZ	2	6
4.424	34	         FPz	2	6
2.529	35	         AFz	2	6
0.67	36	         POZ	2	6
2.365	37	         AF3	2	6
2.346	38	         AF7	2	6
2.277	39	          F1	2	6
1.952	40	          F5	2	6
2.007	41	         FC1	2	6
1.578	42	         FC5	2	6
1.8	43	          C1	2	6
1.086	44	          C5	2	6
2.091	45	         AF4	2	6
1.848	46	         AF8	2	6
1.809	47	          F2	2	6
1.389	48	          F6	2	6
